,label,sentence
25,1,"Ko je videla, kako poplesavajo sončni žarki skozi drevje in kako je vseokrog polno lepih cvetic, je pomislila: »Če natrgam šopek cvetlic za babico, jih bo gotovo zelo vesela."
26,1,Zgodaj je pa še tudi in bom še pravi čas prišla k njej.« Stekla je s poti v gozd in začela trgati cvetlice.
27,1,"In ko je katero odtrgala, se ji je zazdelo, da je malo bolj stran še ena lepša."
28,1,Stekla je k njej in je bila tako čedalje globlje v gozdu.
29,1,Volk pa jo je medtem ubral naravnost proti babičini hišici.
30,1,"Ko je prišel tja, je potrkal na vrata."
31,1,»Kdo pa je zunaj?« je vprašala babica s šibkim glasom.
32,1,»Rdeča kapica.
33,1,"Prinesla sem ti pogače in vina, odpri mi.« »Kar na kljuko pritisni,« je odgovorila babica."
34,1,"»Preveč sem slaba in ne morem vstati.« Volk je pritisnil na kljuko, vrata so se odprla."
35,1,"On pa je šel, ne da bi bil kaj zinil, naravnost k postelji in požrl babico."
36,1,"Nato si je oblekel njeno obleko, posadil na glavo njeno čepico, legel v njeno posteljo ter zagrnil zaveso."
37,1,Rdeča kapica pa je tekala za cvetlicami.
38,1,"Ko jih je toliko nabrala, da jih ni mogla več nositi, se je spet spomnila babice in odpravila se je k njej."
39,1,"Začudila se je, da so bila vrata odprta."
40,1,"In ko je vstopila, jo je tako čudno spreletelo, da je pomislila: »Jej, kako tesno mi je danes pri srcu."
41,1,Pa sem bila drugače zmerom tako rada pri babici.« Zavzdihnila je in rekla glasno: »Dobro jutro.« Odgovora pa ni bilo.
42,1,Zato je stopila k postelji in odgrnila zavese.
43,1,"Pred njo je ležala babica, s čepico, ki jo je imela potisnjeno globoko na obraz."
44,1,In tako čudna je bila videti.
45,1,"»Joj, babica, kako velika ušesa imaš!« »Da te lahko bolje slišim.« »Joj, babica, kako velike oči imaš!« »Da te lahko bolje vidim.« »Joj, babica, kako velike roke imaš!« »Da te lahko bolje zgrabim.« »Jojmene, babica, kako grozno velika usta imaš!« »Da te lahko bolje požrem!« Volk je zarenčal, bil v skoku iz postelje in požrl ubogo Rdečo kapico."
46,1,"Ko je volk tako nasitil svoj pohlep, je legel spet nazaj v posteljo, zaspal in pričel smrčati, da je kar odmevalo po hiši."
47,1,"Pa je prišel mimo hiše lovec, slišal to in začudeno pomislil: »Kako smrči stara žena."
48,1,"Moram pogledati, če se ji ni kaj zgodilo.« Stopil je v sobo, in ko je prišel do postelje, je videl, da leži volk v njej."
49,1,"»Ha, tukaj sem te našel, mrcina stara!« je vzkliknil."
50,1,"»Že dolgo sem te iskal.« 

Že je hotel nameriti, da bi ustrelil, kar se je domislil, da je volk nemara požrl babico in da bi jo mogoče še lahko rešil."
51,1,Zato je vzel škarje in začel spečemu volku parati trebuh.
52,1,"Ko je prerezal kožo, je zagledal Rdečo kapico, ko pa je še malo globlje razparal, je skočila deklica iz trebuha."
53,1,"»Hu, kako me je bilo strah!« je vzkliknila."
54,1,"»Tako temno je bilo v volkovem trebuhu!« Nato je prišla ven tudi stara babica, še živa, in je komaj še dihala."
55,1,"Rdeča kapica pa je hitro prinesla nekaj debelih kamnov, ki so jih stlačili volku v trebuh."
56,1,"Ko se je volk malo prebudil, je hotel pobegniti."
57,1,"Kamni pa so bili tako težki, da je kar omahnil in padel mrtev na tla."
58,1,Vsi trije so bili Zidane volje.
59,1,Lovec je odrl volku kožo in odšel z njo domov.
60,1,"Babica je pojedla pogačo in popila vino, ki ga je Rdeča kapica prinesla, ter si spet opomogla."
61,1,"Rdeča kapica pa je resno premišljevala: »Nikdar več ne smeš uhajati s poti in sama tekati po gozdu, če ti je mama prepovedala."
62,1,"Kako hudo bi bilo ubogi mami, če bi jaz ostala v volkovem trebuhu!«"
