,label,sentence
34,1,"Naslednji dan, ko je s kraljem in dvorjani sedela za mizo ter jedla iz svojega zlatega krožnika, je bilo slišati, kako nekaj čofotajoč prihaja po marmornih stopnicah."
35,1,"In ko je čofotanje prenehalo, je potrkalo na vratih."
36,1,"""Najmlajša kraljeva hči, odpri vrata!"""
37,1,je rekel glas za vrati.
38,1,"Princesa je vstala, da bi pogledala, kdo jo kliče, ampak ko je odprla vrata in zagledala žabona, jih je brž zaloputnila nazaj ter se precej bleda vrnila k mizi."
39,1,"Kralj je opazil njeno vznemirjenost, zato je vprašal, kdo je bil."
40,1,"Da ni morda kak velikan pred vrati, ki bi jo želel ukrasti."
41,1,"""Ne, ne,"" je rekla."
42,1,"""Ni velikan, samo sluzast žabon je."""
43,1,"""In kaj hoče žabon?"""
44,1,je vprašal kralj.
45,1,"Princesa mu je razložila, kako je prejšnji dan izgubila svojo zlato kroglico in kako ji je žabon pomagal."
46,1,"Povedala je tudi, kaj vse mu je obljubila."
47,1,"""Nikoli si ne bi mislila, da bo dejansko zahteval obljubljeno."
48,1,"Saj je vendar žabon, ki cele dneve čofota po vodi,"" je dejala."
49,1,"Tisti trenutek je vnovič potrkalo in glas za vrati je rekel: ""Najmlajša kraljeva hči, odpri vrata!"
50,1,"Ali si pozabila na svoje obljube pri globokem vodnjaku?"""
51,1,"Kralj je tedaj s trdnim glasom rekel: ""Obljuba dela dolg."
52,1,"Spusti ga noter!"""
53,1,"Brez, da bi kaj rekla, je princesa vstala in odprla vrata."
54,1,"Žabon ji je poskakujoč sledil nazaj do njenega stola in takoj, ko je sedla, rekel: ""Dvigni me."""
55,1,"Obotavljala se je, zato jo je kralj strogo pogledal."
56,1,"Ko je bil žabon na mizi, je rekel: ""Potisni krožnik malce bliže, da bova lahko skupaj jedla."""
57,1,"Čeprav nerada, je tako storila."
58,1,"Žabon je užival v večerji, že dolgo ni tako dobro jedel, princesi pa grižljaji niso šli v slast."
59,1,"Ko se je žabon dodobra nasitil, je rekel: ""Utrujen sem."
60,1,"Odnesi me sedaj v svojo sobo, da bova skupaj spala na tvoji postelji?"""
61,1,Ob teh besedah je princesa zajokala.
62,1,"Misel, da bi spala z mrzlim, sluzastim bitjem, jo je strašila in vznemirjala."
63,1,"Toda kralj ji ni dovolil, da bi prelomila obljubo, zato je previdno prijela žabona z dvema prstoma in ga odnesla v svojo sobo."
64,1,"Tam ga je odložila v kot, toda takoj, ko je legla v posteljo, je priskakljal do nje in rekel: ""Tako sem utrujen, da bom gotovo dobro spal."
65,1,"Dvigni me na posteljo ali pa te zatožim očetu."""
66,1,Te besede so princeso strašno razjezile.
67,1,Besna je zgrabila žabona in ga z vso močjo zalučala v steno.
68,1,Tedaj pa se je zgodilo nekaj nepričakovanega - žabon se je spremenil v postavnega princa.
69,1,"Izkazalo se je, da je princesa s svojim dejanjem izničila urok, ki ga je lepemu princu namenila hudobna čarovnica."
70,1,"Ta ga je zahrbtno začarala v žabona in le kraljeva hči, ki mu bo izkazala najmočnejša čustva, najsi bodo to čustva ljubezni ali sovraštva, je lahko pretrgala urok."
71,1,Princesa je to nevede storila in princ je bil osvobojen.
72,1,Med njima je takoj vzklila ljubezen.
73,1,Z očetovim dovoljenjem sta se zaročila ter kmalu zatem odpotovala v prinčevo kraljestvo.
74,1,"Tam so se ju vsi zelo razveselili in jima priredili velikansko zabavo, ki je trajala tri dni in tri noči."
75,1,"Hudobna čarovnica, ki je iz zraka videla prihajati kočijo z mladima zaljubljencema, pa je tako osupnila, da je padla z metle in si zlomila nogo."
