,label,sentence
45,1,Mačka jezno skoči na noge in ga opraska.
46,1,Hudo ga zaboli in nehote vzdigne oči proti dimniku.
47,1,"Prav ta trenutek pa spusti petelin nizdol kokošjak, ki mu oblati oči."
48,1,"Zato pohiti k čebriču, da se umije."
49,1,"Kar sc zbudi raca, silno vztrepeče v vodi s perutmi in ga vsega oškropi."
50,1,"Popade za brisačo, da se obriše, pa ga ose, ki so sc bile skrile k počitku med gube brisače, jezno na¬padejo in opikajo."
51,1,Odskoči od brisače k mizi in stopi psu na rep.
52,1,Pes — ne bodi len ga hitro popade za nogo in ga okolje.
53,1,"Prestrašen se vrže k vratom, pa sc zaleti v osla, ki ga tako krepko brcne, da pade volu na glavo."
54,1,Vol razsrjen ga kar z rogmi vrže skozi vrata.
55,1,Tako obleži nesrečni razbojnik ves pobit pred hišo.
56,1,"Spravi se na noge in odide proti tovarišem, ki so se že tudi vračali."
57,1,Videč ga tako prestrašenega in zdelanega se mu začnejo smejati in rogati.
58,1,"On pa jim reče: »O, ne smejte se, prijatelji!"
59,1,Po menije!
60,1,"Grozno sem kazno¬van in tudi vam sc bo tako godilo, če se vrnete v hišo."
61,1,"Vse hudo jc nad nami, ker smo že toliko zla storili."
62,1,"Ko sem stopil v hišo, sem hotel najprej zanetiti ogenj in začel sem pihati v žerjavico, pa mi neka spaka obličje razpraska; vzdignem kvišku oči, pa mi jih neki zlomek zalije z malto: hitim se umivat, pa me škrat, ki je čepel v čebriču, vsega oškropi; grem k brisači, da sc obrišem, pa je bila vsa pretkana z iglami; skočim k mizi, pa me popade satan s kleščami za nogo; vržem sc k vratom, pa me neka hudoba tako hudo brcne, da priletim samemu vragu na rogc, ta me pa kar skozi vrata zabrusi."
63,1,"In zdaj sami vidite, kakšen sem."
64,1,"Po nas je, vam pravim, po nas!"
65,1,"Bežimo, da se nam še kaj hujšega ne zgodi!«

Na te besede so se razbojniki vsi prestrašeni obrnili, zbežali in se razpršili na vse kraje, da o njih ni bilo nikoli več slišati v naši deželi."
66,1,"Vse to pa zaradi botra petelina, bog mu daj zdravje!"
67,1,Živali pa so se odpravile dalje po svetu.
