label,sentence
0,"Mislim, da niti ne slišiš, kako milo prepevajo ptičke?"
0,"Tako zamišljeno hodiš po stezi, kakor bi šla v šolo."
0,Pa je vendar vse tako veselo in zanimivo tu v gozdu.« Rdeča kapica je pogledala okrog sebe.
1,"Ko je videla, kako poplesavajo sončni žarki skozi drevje in kako je vseokrog polno lepih cvetic, je pomislila: »Če natrgam šopek cvetlic za babico, jih bo gotovo zelo vesela."
1,Zgodaj je pa še tudi in bom še pravi čas prišla k njej.« Stekla je s poti v gozd in začela trgati cvetlice.
0,"In ko je katero odtrgala, se ji je zazdelo, da je malo bolj stran še ena lepša."
0,Stekla je k njej in je bila tako čedalje globlje v gozdu.
1,Volk pa jo je medtem ubral naravnost proti babičini hišici.
0,"Ko je prišel tja, je potrkal na vrata."
0,»Kdo pa je zunaj?« je vprašala babica s šibkim glasom.
0,»Rdeča kapica.
1,"Prinesla sem ti pogače in vina, odpri mi.« »Kar na kljuko pritisni,« je odgovorila babica."
0,"»Preveč sem slaba in ne morem vstati.« Volk je pritisnil na kljuko, vrata so se odprla."
1,"On pa je šel, ne da bi bil kaj zinil, naravnost k postelji in požrl babico."
1,"Nato si je oblekel njeno obleko, posadil na glavo njeno čepico, legel v njeno posteljo ter zagrnil zaveso."
0,Rdeča kapica pa je tekala za cvetlicami.
1,"Ko jih je toliko nabrala, da jih ni mogla več nositi, se je spet spomnila babice in odpravila se je k njej."
0,"Začudila se je, da so bila vrata odprta."
1,"In ko je vstopila, jo je tako čudno spreletelo, da je pomislila: »Jej, kako tesno mi je danes pri srcu."
0,Pa sem bila drugače zmerom tako rada pri babici.« Zavzdihnila je in rekla glasno: »Dobro jutro.« Odgovora pa ni bilo.
0,Zato je stopila k postelji in odgrnila zavese.
1,"Pred njo je ležala babica, s čepico, ki jo je imela potisnjeno globoko na obraz."
0,In tako čudna je bila videti.
1,"»Joj, babica, kako velika ušesa imaš!« »Da te lahko bolje slišim.« »Joj, babica, kako velike oči imaš!« »Da te lahko bolje vidim.« »Joj, babica, kako velike roke imaš!« »Da te lahko bolje zgrabim.« »Jojmene, babica, kako grozno velika usta imaš!« »Da te lahko bolje požrem!« Volk je zarenčal, bil v skoku iz postelje in požrl ubogo Rdečo kapico."
0,"Ko je volk tako nasitil svoj pohlep, je legel spet nazaj v posteljo, zaspal in pričel smrčati, da je kar odmevalo po hiši."
1,"Pa je prišel mimo hiše lovec, slišal to in začudeno pomislil: »Kako smrči stara žena."
0,"Moram pogledati, če se ji ni kaj zgodilo.« Stopil je v sobo, in ko je prišel do postelje, je videl, da leži volk v njej."
0,"»Ha, tukaj sem te našel, mrcina stara!« je vzkliknil."
0,"»Že dolgo sem te iskal.« Že je hotel nameriti, da bi ustrelil, kar se je domislil, da je volk nemara požrl babico in da bi jo mogoče še lahko rešil."
1,Zato je vzel škarje in začel spečemu volku parati trebuh.
1,"Ko je prerezal kožo, je zagledal Rdečo kapico, ko pa je še malo globlje razparal, je skočila deklica iz trebuha."
0,"»Hu, kako me je bilo strah!« je vzkliknila."
1,"»Tako temno je bilo v volkovem trebuhu!« Nato je prišla ven tudi stara babica, še živa, in je komaj še dihala."
1,"Rdeča kapica pa je hitro prinesla nekaj debelih kamnov, ki so jih stlačili volku v trebuh."
0,"Ko se je volk malo prebudil, je hotel pobegniti."
1,"Kamni pa so bili tako težki, da je kar omahnil in padel mrtev na tla."
1,Vsi trije so bili Zidane volje.
1,Lovec je odrl volku kožo in odšel z njo domov.
1,"Babica je pojedla pogačo in popila vino, ki ga je Rdeča kapica prinesla, ter si spet opomogla."
0,"Rdeča kapica pa je resno premišljevala: »Nikdar več ne smeš uhajati s poti in sama tekati po gozdu, če ti je mama prepovedala."
0,"Kako hudo bi bilo ubogi mami, če bi jaz ostala v volkovem trebuhu!«"
0,"<|endoftext|>"

