label,sentence
0,"Dodobra sit je potem odšel, se ulegel na travniku pod drevo in zadrnjohal."
0,Nedolgo zatem se je iz gozda vrnila mama koza.
0,Lahko si predstavljate kakšen grozen prizor jo je dočakal.
0,"Vrata so bila na stežaj odprta, hiša razdejana, miza, stoli, klopce – vse prevrnjeno in polomljeno."
0,"Kuhinja razbita, spalnica razmetana, njenih ljubih kozličkov pa nikjer."
0,"Preiskala je vso hišo, vendar nikogar ni našla."
0,"Enega za drugim je začela klicati po imenu, a nihče se ni oglasil."
1,"Naposled pa je poklicala za najmlajšim in oglasil se je drobcen glasek: ""Tukaj sem, mamica, v stenski uri."""
0,"Vzela ga je iz ure in povedal ji je, kako jih je volk ukanil ter požrl vse razen njega."
0,Lahko si predstavljate njeno žalost.
0,"Potrta je stopila na svež zrak, najmlajši kozliček pa je odskakljal za njo."
0,"Ko sta prišla do travnika, sta pod drevesom opazila spečega volka."
0,"Ta je smrčal tako glasno, da so tresle veje."
1,"Mama koza si je volka previdno ogledovala, ko je opazila, da se v njegovem nabreklem trebuhu nekaj premika."
0,"""O, marička,"" je vzdrhtela."
0,"""Ali je mogoče, da so moji otročički še zmeraj živi?"""
0,"Kozlička je takoj poslala po škarje, šivanko in sukanec."
0,Potem je volku prerezala trebuh in glej – že pri prvem rezu je ven pokukala glavica kozlička.
0,"Ko je postala luknja dovolj velika, je vseh šest kozličkov drug za drugim skočilo iz trebuha."
1,"Vsi so bili živi in zdravi, saj jih je volk v svoji požrešnosti kar cele pogoltnil."
0,"Joj, kako je bila mamica vesela."
1,"Svoje ljube otročičke je tesno objela, potem pa jim naročila: ""Ljubi otroci, vsak naj gre in poišče en velik kamen, da bomo z njimi napolnili okrutnežu trebuh, dokler še spi."""
0,Otroci so kmalu prinesli sedem debelih kamnov in z njimi napolnili volkov trebuh.
0,"Mama koza ga je hitro zašila, medtem ko je volk trdno spal."
0,Še ganil se ni.
0,"Ko pa se je naposled prebudil, se je počutil nekam čudno."
1,"Močno ga je zažejalo, zato se je namenil stopiti do studenca."
0,"Toda takoj, ko je vstal, se je kamenje v njegovem trebuhu premaknilo in zarožljalo."
0,"Tedaj je rekel: ""Le kaj v trebuhu se obrača, tako rožlja in se prevrača?"
0,"Šest kozličkov sem pojedel, pa se zdi, kot da bi kamne snedel."""
1,"Ko je prišel do studenca in se nagnil k vodi, se je sedem kamnov v njegovem trebuhu premaknilo in ga potegnilo v globino."
0,"Bil je pretežak, da bi lahko splaval na površje, zato je utonil."
1,"Ko so kozlički videli, kaj se je zgodilo, so začeli kričali: ""Volk je mrtev! Volk je mrtev!"""
0,Skupaj z mamico so nato veselo skakljali in poplesavali okrog studenca.
0,"<|endoftext|>"
